16 16
-1	-1	4	4	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1
4	44	44	44	4	4	-1	4	-1	-1	-1	-1	4	4	4	-1
4	44	3	3	44	4	-1	-1	-1	-1	-1	44	44	44	4	4
4	44	3	3	3	4	-1	-1	-1	-1	4	44	3	3	44	4
-1	44	44	3	3	4	4	4	-1	4	4	4	3	3	44	4
-1	4	44	44	4	4	4	4	4	4	44	4	4	4	4	4
-1	-1	4	4	-1	4	4	4	4	4	4	4	-1	-1	4	4
-1	-1	-1	-1	-1	-1	4	4	4	4	4	4	4	-1	-1	-1
-1	44	-1	-1	-1	4	44	44	4	4	4	44	44	4	-1	-1
-1	-1	4	-1	4	4	44	44	4	4	44	44	3	4	-1	-1
-1	-1	-1	-1	4	3	3	4	4	4	44	3	3	44	4	4
-1	-1	-1	4	4	3	44	4	4	4	44	3	3	3	44	4
-1	-1	4	4	44	44	4	4	4	44	44	3	3	44	4	4
-1	-1	4	44	3	4	4	-1	4	44	44	3	3	4	4	4
-1	-1	-1	4	4	4	-1	-1	4	44	44	4	44	4	4	4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	4	4	4	-1
